,Product Name,Price,Processor,Brand,RAM,Rating,Storage,Windows,Color,Discount,Screen Size
136,JioBook 11 with Lifetime Office,10990.0,Mediatek,JIOBOOK,4GB,2.9,4GB,,Blue,,
137,"BrowseBook 14.1"" FHD IPS Laptop",12990.0,,BROWSEBOOK,4GB,3.0,128GB,Windows 11,Grey,,
138,Ienovo ThinkPad L14,25995.0,,IENOVO,8GB,,256GB,Windows 10,,,
139,Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg),,Intel Celeron,LENOVO,4GB,3.9,4GB,,Blue,,
140,HP 15,36990.0,AMD Ryzen 3 7320U,HP,8GB,4.0,512GB,Windows 11,Silver,,
141,HP 15 Consumer Series Laptop,41990.0,Intel Core i3-1315U,HP,12GB,4.1,512GB,Windows 11,Silver,,
142,"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg)",45490.0,Intel Core i3,LENOVO,8GB,3.8,512GB,Windows 11,Grey,,
143,Primebook 2 Max 2025 (New Launch),22990.0,MediaTek,PRIMEBOOK,8GB,4.3,8GB,,Gray,,
144,"HP 14s Intel Celeron Dual Core N4500 Laptop (8GB/512GB SSD/Win 11) 14.0"" HD Display",29990.0,Intel Celeron,HP,,3.3,512GB,Windows 11,Black,,
145,ASUS Vivobook Go 14,34670.0,AMD Ryzen 3 7320U,ASUS,8GB,4.1,512GB,Windows 11,Black,,
146,Thomson NEO 14.1 Inch IN-N14C Intel Celeron Dual Core N4020 Processor Windows 11 Home Notebook (8 GB RAM DDR4/ 256 GB SSD/Thin & Light Weight/Silver/Non Stop Performance Beyond 15 Hrs),17990.0,Intel Celeron,THOMSON,8GB,4.5,256GB,Windows 11,Silver,,
147,ASUS Vivobook 14,36675.0,Intel Core i3,ASUS,8GB,3.9,512GB,Windows 11,Silver,,
148,ASUS Vivobook 15 (2025),49820.0,AMD Ryzen 7 7730U Thin,ASUS,16GB,4.3,512GB,Windows 11,Blue,,
149,Dell 15,42990.0,Intel Core i3,DELL,16GB,3.9,512GB,Windows 11,Grey,,
150,Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Home Notebook (4 GB RAM DDR4/ 128 GB SSD/Numeric Touch Pad/Thin & Light Weight/Silver),12990.0,Intel Celeron,THOMSON,4GB,3.0,128GB,,Silver,,
151,Walker Best Student & Office Work Laptop,16990.0,Intel Celeron,WALKER,8GB,3.0,256GB,Windows 11,Silver,,
152,MSI Katana 15 HX,102990.0,,MSI,,,512GB,Windows 11,Black,,
153,Primebook 2 Pro 2025 (New Launch),19990.0,MediaTek,PRIMEBOOK,8GB,4.4,8GB,,Gray,,
154,HP OmniBook 5 OLED (Previously Pavilion),66990.0,,HP,16GB,4.1,512GB,Windows 11,Silver,,
155,HP 15,56990.0,AMD Ryzen 7 7735HS,HP,16GB,4.0,512GB,Windows 11,Silver,,
156,"EBook 11.6"" HD Laptop",10990.0,,EBOOK,4GB,3.8,4GB,Windows 11,Black,,
157,HP 15,41990.0,Intel Core i3-1315U,HP,12GB,4.1,512GB,Windows 11,Silver,,
158,JioBook 11 with Lifetime Office,10990.0,Mediatek,JIOBOOK,4GB,2.9,4GB,,Blue,,
